,days_past_due,principal_balance,principal_paid
0,29,2654.05,6895.95
1,0,0.0,14875.0
2,941,0.0,4858.63
3,0,0.0,15000.0
4,60,4632.51,8867.49
5,547,0.0,405.26
6,60,40000.0,0.0
7,0,0.0,27000.0
8,60,2030.7,769.3
9,0,0.0,16000.0
10,60,3108.73,6891.27
11,60,2329.36,170.64
12,60,12501.6,2498.4
13,29,5542.01,2457.99
14,1763,0.0,511.28
15,60,883.67,3116.33
16,759,0.0,1453.24
17,60,9861.02,2138.98
18,1033,0.0,957.13
19,0,0.0,32000.0
20,60,22409.32,1590.68
21,29,7010.15,2989.85
22,0,0.0,20000.0
23,0,0.0,9600.0
24,29,3995.77,2404.23
25,60,17966.6,433.4
26,29,7826.65,173.35
27,60,11523.63,3476.37
28,0,0.0,2400.0
29,0,0.0,10000.0
30,0,0.0,8000.0
31,60,29687.62,5312.38
32,0,0.0,13250.0
33,0,0.0,24000.0
34,667,0.0,441.92
35,60,6354.8,645.2
36,0,0.0,10000.0
37,29,3850.82,3149.18
38,0,0.0,5200.0
39,29,7442.89,1557.11
40,302,0.0,2297.56
41,0,0.0,20000.0
42,0,0.0,1600.0
43,0,0.0,29100.0
44,29,5862.86,12137.14
45,0,0.0,13325.0
46,0,0.0,20000.0
47,60,4000.0,0.0
48,60,8435.42,5964.58
49,29,6070.89,1929.11
50,0,0.0,35000.0
51,29,6913.5,9086.5
52,0,0.0,3600.0
53,0,0.0,30000.0
54,0,0.0,12000.0
55,60,1446.87,1553.13
56,0,0.0,5000.0
57,0,0.0,4450.0
58,820,0.0,8128.2
59,0,0.0,16000.0
60,0,0.0,5000.0
61,0,0.0,10000.0
62,0,0.0,35000.0
63,60,1949.78,50.22
64,60,4156.55,1843.45
65,0,0.0,14400.0
66,60,4265.14,10734.86
67,0,0.0,3000.0
68,912,0.0,1768.91
69,29,9178.25,421.75
70,29,6248.83,3351.17
71,333,0.0,5610.14
72,0,0.0,13500.0
73,0,0.0,28000.0
74,0,0.0,6700.0
75,0,0.0,14000.0
76,0,0.0,3500.0
77,0,0.0,1500.0
78,60,9084.7,915.3
79,60,5684.41,2315.59
80,29,21761.17,4238.83
81,0,0.0,35000.0
82,60,1572.69,3427.31
83,60,578.26,1821.74
84,29,10633.03,166.97
85,0,0.0,30000.0
86,0,0.0,12000.0
87,60,40000.0,0.0
88,60,16000.0,0.0
89,1702,0.0,299.33
90,0,0.0,20000.0
91,60,4119.82,3880.18
92,29,16634.88,7040.12
93,0,0.0,20000.0
